id,name,type,path,status,license_status,package_default
gen.timeline_node,时间轴节点,icon_or_shape,30_icons/self_generated/pa_timeline_node.svg,active,self_generated,True
gen.arrow_loop,闭环箭头,icon_or_shape,30_icons/self_generated/pa_arrow_loop.svg,active,self_generated,True
local.PRESALE002_A0011,企业员工健康-PRESALE002_A0011,internal_image,40_images/internal_reference/local_PRESALE002_A0011_企业员工健康.jpeg,internal_only,local_knowledge_base,False
local.PRESALE002_A0087,企业员工健康-PRESALE002_A0087,internal_image,40_images/internal_reference/local_PRESALE002_A0087_企业员工健康.jpeg,internal_only,local_knowledge_base,False
local.PRESALE002_A0056,医务室体检-PRESALE002_A0056,internal_image,40_images/internal_reference/local_PRESALE002_A0056_医务室体检.jpeg,internal_only,local_knowledge_base,False
local.PRESALE002_A0065,医务室体检-PRESALE002_A0065,internal_image,40_images/internal_reference/local_PRESALE002_A0065_医务室体检.jpeg,internal_only,local_knowledge_base,False
local.PRESALE002_A0069,医务室体检-PRESALE002_A0069,internal_image,40_images/internal_reference/local_PRESALE002_A0069_医务室体检.jpeg,internal_only,local_knowledge_base,False
local.PRESALE002_A0073,医务室体检-PRESALE002_A0073,internal_image,40_images/internal_reference/local_PRESALE002_A0073_医务室体检.jpeg,internal_only,local_knowledge_base,False
local.PRESALE004_A0004,医务室体检-PRESALE004_A0004,internal_image,40_images/internal_reference/local_PRESALE004_A0004_医务室体检.jpeg,internal_only,local_knowledge_base,False
local.PRESALE004_A0013,医务室体检-PRESALE004_A0013,internal_image,40_images/internal_reference/local_PRESALE004_A0013_医务室体检.jpeg,internal_only,local_knowledge_base,False
local.PRESALE004_A0082,医生沟通-PRESALE004_A0082,internal_image,40_images/internal_reference/local_PRESALE004_A0082_医生沟通.jpeg,internal_only,local_knowledge_base,False
local.PRESALE004_A0083,医生沟通-PRESALE004_A0083,internal_image,40_images/internal_reference/local_PRESALE004_A0083_医生沟通.jpeg,internal_only,local_knowledge_base,False
local.PRESALE004_A0084,医生沟通-PRESALE004_A0084,internal_image,40_images/internal_reference/local_PRESALE004_A0084_医生沟通.jpeg,internal_only,local_knowledge_base,False
local.PRESALE004_A0085,医生沟通-PRESALE004_A0085,internal_image,40_images/internal_reference/local_PRESALE004_A0085_医生沟通.jpeg,internal_only,local_knowledge_base,False
local.PRESALE004_A0086,医生沟通-PRESALE004_A0086,internal_image,40_images/internal_reference/local_PRESALE004_A0086_医生沟通.jpeg,internal_only,local_knowledge_base,False
local.PRESALE004_A0087,医生沟通-PRESALE004_A0087,internal_image,40_images/internal_reference/local_PRESALE004_A0087_医生沟通.jpeg,internal_only,local_knowledge_base,False
local.PRESALE004_A0088,医生沟通-PRESALE004_A0088,internal_image,40_images/internal_reference/local_PRESALE004_A0088_医生沟通.jpeg,internal_only,local_knowledge_base,False
local.PRESALE004_A0089,医生沟通-PRESALE004_A0089,internal_image,40_images/internal_reference/local_PRESALE004_A0089_医生沟通.jpeg,internal_only,local_knowledge_base,False
local.PRESALE004_A0090,医生沟通-PRESALE004_A0090,internal_image,40_images/internal_reference/local_PRESALE004_A0090_医生沟通.jpeg,internal_only,local_knowledge_base,False
local.PRESALE004_A0091,医生沟通-PRESALE004_A0091,internal_image,40_images/internal_reference/local_PRESALE004_A0091_医生沟通.jpeg,internal_only,local_knowledge_base,False
local.PRESALE004_A0092,医生沟通-PRESALE004_A0092,internal_image,40_images/internal_reference/local_PRESALE004_A0092_医生沟通.jpeg,internal_only,local_knowledge_base,False
local.PRESALE002_A0033,家庭老人服务-PRESALE002_A0033,internal_image,40_images/internal_reference/local_PRESALE002_A0033_家庭老人服务.jpeg,internal_only,local_knowledge_base,False
local.PRESALE002_A0049,家庭老人服务-PRESALE002_A0049,internal_image,40_images/internal_reference/local_PRESALE002_A0049_家庭老人服务.jpeg,internal_only,local_knowledge_base,False
local.PRESALE002_A0052,家庭老人服务-PRESALE002_A0052,internal_image,40_images/internal_reference/local_PRESALE002_A0052_家庭老人服务.jpeg,internal_only,local_knowledge_base,False
local.PRESALE002_A0053,家庭老人服务-PRESALE002_A0053,internal_image,40_images/internal_reference/local_PRESALE002_A0053_家庭老人服务.jpeg,internal_only,local_knowledge_base,False
local.PRESALE002_A0054,家庭老人服务-PRESALE002_A0054,internal_image,40_images/internal_reference/local_PRESALE002_A0054_家庭老人服务.jpeg,internal_only,local_knowledge_base,False
local.PRESALE002_A0062,家庭老人服务-PRESALE002_A0062,internal_image,40_images/internal_reference/local_PRESALE002_A0062_家庭老人服务.jpeg,internal_only,local_knowledge_base,False
local.PRESALE001_A0299,APP截图-PRESALE001_A0299,internal_image,40_images/internal_reference/local_PRESALE001_A0299_APP截图.jpeg,internal_only,local_knowledge_base,False
local.PRESALE001_A0300,APP截图-PRESALE001_A0300,internal_image,40_images/internal_reference/local_PRESALE001_A0300_APP截图.jpeg,internal_only,local_knowledge_base,False
local.PRESALE003_A0130,APP截图-PRESALE003_A0130,internal_image,40_images/internal_reference/local_PRESALE003_A0130_APP截图.jpeg,internal_only,local_knowledge_base,False
local.PRESALE003_A0131,APP截图-PRESALE003_A0131,internal_image,40_images/internal_reference/local_PRESALE003_A0131_APP截图.jpeg,internal_only,local_knowledge_base,False
local.PRESALE003_A0132,APP截图-PRESALE003_A0132,internal_image,40_images/internal_reference/local_PRESALE003_A0132_APP截图.jpeg,internal_only,local_knowledge_base,False
local.PRESALE003_A0133,APP截图-PRESALE003_A0133,internal_image,40_images/internal_reference/local_PRESALE003_A0133_APP截图.jpeg,internal_only,local_knowledge_base,False
local.PRESALE003_A0135,APP截图-PRESALE003_A0135,internal_image,40_images/internal_reference/local_PRESALE003_A0135_APP截图.jpeg,internal_only,local_knowledge_base,False
local.PRESALE003_A0136,APP截图-PRESALE003_A0136,internal_image,40_images/internal_reference/local_PRESALE003_A0136_APP截图.jpeg,internal_only,local_knowledge_base,False
local.PRESALE003_A0137,APP截图-PRESALE003_A0137,internal_image,40_images/internal_reference/local_PRESALE003_A0137_APP截图.jpeg,internal_only,local_knowledge_base,False
local.PRESALE003_A0138,APP截图-PRESALE003_A0138,internal_image,40_images/internal_reference/local_PRESALE003_A0138_APP截图.jpeg,internal_only,local_knowledge_base,False
local.PRESALE003_A0139,APP截图-PRESALE003_A0139,internal_image,40_images/internal_reference/local_PRESALE003_A0139_APP截图.jpeg,internal_only,local_knowledge_base,False
local.PRESALE003_A0140,APP截图-PRESALE003_A0140,internal_image,40_images/internal_reference/local_PRESALE003_A0140_APP截图.jpeg,internal_only,local_knowledge_base,False
local.PRESALE003_A0141,APP截图-PRESALE003_A0141,internal_image,40_images/internal_reference/local_PRESALE003_A0141_APP截图.jpeg,internal_only,local_knowledge_base,False
local.PRESALE003_A0143,APP截图-PRESALE003_A0143,internal_image,40_images/internal_reference/local_PRESALE003_A0143_APP截图.jpeg,internal_only,local_knowledge_base,False
local.PRESALE003_A0149,APP截图-PRESALE003_A0149,internal_image,40_images/internal_reference/local_PRESALE003_A0149_APP截图.jpeg,internal_only,local_knowledge_base,False
local.PRESALE003_A0150,APP截图-PRESALE003_A0150,internal_image,40_images/internal_reference/local_PRESALE003_A0150_APP截图.jpeg,internal_only,local_knowledge_base,False
local.PRESALE003_A0151,APP截图-PRESALE003_A0151,internal_image,40_images/internal_reference/local_PRESALE003_A0151_APP截图.jpeg,internal_only,local_knowledge_base,False
local.PRESALE003_A0152,APP截图-PRESALE003_A0152,internal_image,40_images/internal_reference/local_PRESALE003_A0152_APP截图.jpeg,internal_only,local_knowledge_base,False
local.PRESALE003_A0153,APP截图-PRESALE003_A0153,internal_image,40_images/internal_reference/local_PRESALE003_A0153_APP截图.jpeg,internal_only,local_knowledge_base,False
local.PRESALE003_A0154,APP截图-PRESALE003_A0154,internal_image,40_images/internal_reference/local_PRESALE003_A0154_APP截图.jpeg,internal_only,local_knowledge_base,False
gen.icon_speaker,智能音箱,icon_or_shape,30_icons/self_generated/pa_icon_speaker.svg,active,self_generated,True
local.PRESALE001_A0025,智能音箱-PRESALE001_A0025,internal_image,40_images/internal_reference/local_PRESALE001_A0025_智能音箱.jpeg,internal_only,local_knowledge_base,False
local.PRESALE001_A0026,智能音箱-PRESALE001_A0026,internal_image,40_images/internal_reference/local_PRESALE001_A0026_智能音箱.jpeg,internal_only,local_knowledge_base,False
local.PRESALE001_A0027,智能音箱-PRESALE001_A0027,internal_image,40_images/internal_reference/local_PRESALE001_A0027_智能音箱.jpeg,internal_only,local_knowledge_base,False
local.PRESALE001_A0028,智能音箱-PRESALE001_A0028,internal_image,40_images/internal_reference/local_PRESALE001_A0028_智能音箱.jpeg,internal_only,local_knowledge_base,False
local.PRESALE001_A0034,智能音箱-PRESALE001_A0034,internal_image,40_images/internal_reference/local_PRESALE001_A0034_智能音箱.jpeg,internal_only,local_knowledge_base,False
local.PRESALE001_A0149,智能音箱-PRESALE001_A0149,internal_image,40_images/internal_reference/local_PRESALE001_A0149_智能音箱.jpeg,internal_only,local_knowledge_base,False
local.PRESALE001_A0150,智能音箱-PRESALE001_A0150,internal_image,40_images/internal_reference/local_PRESALE001_A0150_智能音箱.jpeg,internal_only,local_knowledge_base,False
local.PRESALE001_A0303,智能音箱-PRESALE001_A0303,internal_image,40_images/internal_reference/local_PRESALE001_A0303_智能音箱.jpeg,internal_only,local_knowledge_base,False
local.PRESALE001_A0310,智能音箱-PRESALE001_A0310,internal_image,40_images/internal_reference/local_PRESALE001_A0310_智能音箱.jpeg,internal_only,local_knowledge_base,False
local.PRESALE001_A0315,智能音箱-PRESALE001_A0315,internal_image,40_images/internal_reference/local_PRESALE001_A0315_智能音箱.jpeg,internal_only,local_knowledge_base,False
local.PRESALE001_A0319,智能音箱-PRESALE001_A0319,internal_image,40_images/internal_reference/local_PRESALE001_A0319_智能音箱.jpeg,internal_only,local_knowledge_base,False
local.PRESALE001_A0356,智能音箱-PRESALE001_A0356,internal_image,40_images/internal_reference/local_PRESALE001_A0356_智能音箱.jpeg,internal_only,local_knowledge_base,False
gen.icon_blood_pressure_monitor,血压监测,icon_or_shape,30_icons/self_generated/pa_icon_blood_pressure_monitor.svg,active,self_generated,True
gen.icon_ct_mri,影像检查,icon_or_shape,30_icons/self_generated/pa_icon_ct_mri.svg,active,self_generated,True
gen.icon_wearable_watch,可穿戴监测,icon_or_shape,30_icons/self_generated/pa_icon_wearable_watch.svg,active,self_generated,True
gen.icon_medicine_box,药箱药品,icon_or_shape,30_icons/self_generated/pa_icon_medicine_box.svg,active,self_generated,True
gen.bg_medical_grid,医疗科技网格,icon_or_shape,30_icons/self_generated/pa_bg_medical_grid.svg,active,self_generated,True
gen.bg_orange_corner,浅橙封面角标,icon_or_shape,30_icons/self_generated/pa_bg_orange_corner.svg,active,self_generated,True
local.PRESALE006_A0090,封面背景-PRESALE006_A0090,internal_image,40_images/internal_reference/local_PRESALE006_A0090_封面背景.jpeg,internal_only,local_knowledge_base,False
local.PRESALE007_A0018,封面背景-PRESALE007_A0018,internal_image,40_images/internal_reference/local_PRESALE007_A0018_封面背景.jpeg,internal_only,local_knowledge_base,False
local.PRESALE007_A0057,封面背景-PRESALE007_A0057,internal_image,40_images/internal_reference/local_PRESALE007_A0057_封面背景.png,internal_only,local_knowledge_base,False
local.PRESALE007_A0087,封面背景-PRESALE007_A0087,internal_image,40_images/internal_reference/local_PRESALE007_A0087_封面背景.jpeg,internal_only,local_knowledge_base,False
local.PRESALE008_A0004,封面背景-PRESALE008_A0004,internal_image,40_images/internal_reference/local_PRESALE008_A0004_封面背景.jpeg,internal_only,local_knowledge_base,False
local.PRESALE010_A0110,封面背景-PRESALE010_A0110,internal_image,40_images/internal_reference/local_PRESALE010_A0110_封面背景.jpeg,internal_only,local_knowledge_base,False
local.PRESALE010_A0138,封面背景-PRESALE010_A0138,internal_image,40_images/internal_reference/local_PRESALE010_A0138_封面背景.jpeg,internal_only,local_knowledge_base,False
local.PRESALE010_A0139,封面背景-PRESALE010_A0139,internal_image,40_images/internal_reference/local_PRESALE010_A0139_封面背景.jpeg,internal_only,local_knowledge_base,False
layout.local_PRESALE007_A0037_版式参考,local_PRESALE007_A0037_版式参考,layout_reference,50_layout_references/local_PRESALE007_A0037_版式参考.jpeg,internal_only,local_knowledge_base,False
layout.local_PRESALE006_A0101_版式参考,local_PRESALE006_A0101_版式参考,layout_reference,50_layout_references/local_PRESALE006_A0101_版式参考.jpeg,internal_only,local_knowledge_base,False
layout.local_PRESALE008_A0002_版式参考,local_PRESALE008_A0002_版式参考,layout_reference,50_layout_references/local_PRESALE008_A0002_版式参考.jpeg,internal_only,local_knowledge_base,False
layout.local_PRESALE008_A0005_版式参考,local_PRESALE008_A0005_版式参考,layout_reference,50_layout_references/local_PRESALE008_A0005_版式参考.jpeg,internal_only,local_knowledge_base,False
layout.local_PRESALE006_A0100_版式参考,local_PRESALE006_A0100_版式参考,layout_reference,50_layout_references/local_PRESALE006_A0100_版式参考.jpeg,internal_only,local_knowledge_base,False
layout.local_PRESALE006_A0073_版式参考,local_PRESALE006_A0073_版式参考,layout_reference,50_layout_references/local_PRESALE006_A0073_版式参考.jpeg,internal_only,local_knowledge_base,False
layout.local_PRESALE006_A0001_版式参考,local_PRESALE006_A0001_版式参考,layout_reference,50_layout_references/local_PRESALE006_A0001_版式参考.jpeg,internal_only,local_knowledge_base,False
layout.local_PRESALE005_A0008_版式参考,local_PRESALE005_A0008_版式参考,layout_reference,50_layout_references/local_PRESALE005_A0008_版式参考.jpeg,internal_only,local_knowledge_base,False
layout.local_PRESALE008_A0006_版式参考,local_PRESALE008_A0006_版式参考,layout_reference,50_layout_references/local_PRESALE008_A0006_版式参考.jpeg,internal_only,local_knowledge_base,False
layout.local_PRESALE007_A0086_版式参考,local_PRESALE007_A0086_版式参考,layout_reference,50_layout_references/local_PRESALE007_A0086_版式参考.jpeg,internal_only,local_knowledge_base,False
layout.local_PRESALE005_A0003_版式参考,local_PRESALE005_A0003_版式参考,layout_reference,50_layout_references/local_PRESALE005_A0003_版式参考.jpeg,internal_only,local_knowledge_base,False
layout.local_PRESALE007_A0038_版式参考,local_PRESALE007_A0038_版式参考,layout_reference,50_layout_references/local_PRESALE007_A0038_版式参考.jpeg,internal_only,local_knowledge_base,False
layout.local_PRESALE007_A0063_版式参考,local_PRESALE007_A0063_版式参考,layout_reference,50_layout_references/local_PRESALE007_A0063_版式参考.jpeg,internal_only,local_knowledge_base,False
layout.local_PRESALE007_A0019_版式参考,local_PRESALE007_A0019_版式参考,layout_reference,50_layout_references/local_PRESALE007_A0019_版式参考.jpeg,internal_only,local_knowledge_base,False
layout.local_PRESALE005_A0009_版式参考,local_PRESALE005_A0009_版式参考,layout_reference,50_layout_references/local_PRESALE005_A0009_版式参考.jpeg,internal_only,local_knowledge_base,False
layout.local_PRESALE007_A0070_版式参考,local_PRESALE007_A0070_版式参考,layout_reference,50_layout_references/local_PRESALE007_A0070_版式参考.jpeg,internal_only,local_knowledge_base,False
layout.local_PRESALE005_A0023_版式参考,local_PRESALE005_A0023_版式参考,layout_reference,50_layout_references/local_PRESALE005_A0023_版式参考.jpeg,internal_only,local_knowledge_base,False
layout.local_PRESALE006_A0099_版式参考,local_PRESALE006_A0099_版式参考,layout_reference,50_layout_references/local_PRESALE006_A0099_版式参考.jpeg,internal_only,local_knowledge_base,False
