asset_id,display_name,category,subcategory,file_path,format,source,source_asset_id,source_url,source_page,semantic_tags,style_tags,replacement_group,color_profile,pa_style_score,safe_for_external,license_status,html_usage,notes
iconfont.8223399,住院床位-病床,01_图标_icon,服务能力,01_图标_icon/服务能力/iconfont_medical_bed_8223399_病床.svg,svg,iconfont_public_search,8223399,https://www.iconfont.cn/search/index?searchType=icon&q=病床,,住院床位|病床|病床,单色线性|currentColor可控|平安橙可适配,medical.bed,"{""palette"": [""currentColor""], ""fills"": 1}",4,False,needs_review_iconfont,candidate_after_license_review,iconfont公开搜索结果，已筛为单色SVG；外发前需复核授权。
gen.icon_companion,陪诊服务,01_图标_icon,服务能力,01_图标_icon/服务能力/pa_icon_companion.svg,svg,generated_pingan_component,,,,陪诊服务|平安橙|HTML组件,平安橙适配|单色线性|白底友好,medical.companion,"{""palette"": [""#f05a22"", ""#fff1e8"", ""#ffffff""]}",5,True,self_generated,default_candidate,自绘SVG组件，可直接用于HTML材料。
iconfont.14233212,陪诊服务-陪诊 ,01_图标_icon,服务能力,01_图标_icon/服务能力/iconfont_medical_companion_14233212_陪诊.svg,svg,iconfont_public_search,14233212,https://www.iconfont.cn/search/index?searchType=icon&q=陪诊,,"陪诊服务|陪诊|陪诊 (2),填充,扁平",单色线性|currentColor可控|平安橙可适配,medical.companion,"{""palette"": [""currentColor""], ""fills"": 1}",4,False,needs_review_iconfont,candidate_after_license_review,iconfont公开搜索结果，已筛为单色SVG；外发前需复核授权。
iconfont.5082611,陪诊服务-陪诊 我的陪诊#ff5988,01_图标_icon,服务能力,01_图标_icon/服务能力/iconfont_medical_companion_5082611_陪诊_我的陪诊_ff5988.svg,svg,iconfont_public_search,5082611,https://www.iconfont.cn/search/index?searchType=icon&q=陪诊,,陪诊服务|陪诊|陪诊 我的陪诊,单色线性|currentColor可控|平安橙可适配,medical.companion,"{""palette"": [""currentColor""], ""fills"": 1}",4,False,needs_review_iconfont,candidate_after_license_review,iconfont公开搜索结果，已筛为单色SVG；外发前需复核授权。
gen.icon_doctor_service,医生服务,01_图标_icon,服务能力,01_图标_icon/服务能力/pa_icon_doctor_service.svg,svg,generated_pingan_component,,,,医生服务|平安橙|HTML组件,平安橙适配|单色线性|白底友好,medical.doctor,"{""palette"": [""#f05a22"", ""#fff1e8"", ""#ffffff""]}",5,True,self_generated,default_candidate,自绘SVG组件，可直接用于HTML材料。
iconfont.10268608,医生服务-医生&医生介绍,01_图标_icon,服务能力,01_图标_icon/服务能力/iconfont_medical_doctor_10268608_医生_医生介绍.svg,svg,iconfont_public_search,10268608,https://www.iconfont.cn/search/index?searchType=icon&q=医生,,医生服务|医生|医生&医生介绍,单色线性|currentColor可控|平安橙可适配,medical.doctor,"{""palette"": [""currentColor""], ""fills"": 1}",4,False,needs_review_iconfont,candidate_after_license_review,iconfont公开搜索结果，已筛为单色SVG；外发前需复核授权。
iconfont.765377,医生服务-医生,01_图标_icon,服务能力,01_图标_icon/服务能力/iconfont_medical_doctor_765377_医生.svg,svg,iconfont_public_search,765377,https://www.iconfont.cn/search/index?searchType=icon&q=医生,,"医生服务|医生|医生,护理",单色线性|currentColor可控|平安橙可适配,medical.doctor,"{""palette"": [""currentColor""], ""fills"": 1}",4,False,needs_review_iconfont,candidate_after_license_review,iconfont公开搜索结果，已筛为单色SVG；外发前需复核授权。
gen.icon_hospital,医院资源,01_图标_icon,服务能力,01_图标_icon/服务能力/pa_icon_hospital.svg,svg,generated_pingan_component,,,,医院资源|平安橙|HTML组件,平安橙适配|单色线性|白底友好,medical.hospital,"{""palette"": [""#f05a22"", ""#fff1e8"", ""#ffffff""]}",5,True,self_generated,default_candidate,自绘SVG组件，可直接用于HTML材料。
iconfont.145457,医院资源-医院,01_图标_icon,服务能力,01_图标_icon/服务能力/iconfont_medical_hospital_145457_医院.svg,svg,iconfont_public_search,145457,https://www.iconfont.cn/search/index?searchType=icon&q=医院,,医院资源|医院|医院,单色线性|currentColor可控|平安橙可适配,medical.hospital,"{""palette"": [""currentColor""], ""fills"": 1}",4,False,needs_review_iconfont,candidate_after_license_review,iconfont公开搜索结果，已筛为单色SVG；外发前需复核授权。
iconfont.145740,医院资源-医院_填充,01_图标_icon,服务能力,01_图标_icon/服务能力/iconfont_medical_hospital_145740_医院_填充.svg,svg,iconfont_public_search,145740,https://www.iconfont.cn/search/index?searchType=icon&q=医院,,医院资源|医院|医院_填充,单色线性|currentColor可控|平安橙可适配,medical.hospital,"{""palette"": [""currentColor""], ""fills"": 1}",4,False,needs_review_iconfont,candidate_after_license_review,iconfont公开搜索结果，已筛为单色SVG；外发前需复核授权。
gen.icon_surgery,手术协助,01_图标_icon,服务能力,01_图标_icon/服务能力/pa_icon_surgery.svg,svg,generated_pingan_component,,,,手术协助|平安橙|HTML组件,平安橙适配|单色线性|白底友好,medical.surgery,"{""palette"": [""#f05a22"", ""#fff1e8"", ""#ffffff""]}",5,True,self_generated,default_candidate,自绘SVG组件，可直接用于HTML材料。
iconfont.10056238,手术协助-手术,01_图标_icon,服务能力,01_图标_icon/服务能力/iconfont_medical_surgery_10056238_手术.svg,svg,iconfont_public_search,10056238,https://www.iconfont.cn/search/index?searchType=icon&q=手术,,手术协助|手术|手术,单色线性|currentColor可控|平安橙可适配,medical.surgery,"{""palette"": [""currentColor""], ""fills"": 1}",4,False,needs_review_iconfont,candidate_after_license_review,iconfont公开搜索结果，已筛为单色SVG；外发前需复核授权。
iconfont.786200,手术协助-外科,01_图标_icon,服务能力,01_图标_icon/服务能力/iconfont_medical_surgery_786200_外科.svg,svg,iconfont_public_search,786200,https://www.iconfont.cn/search/index?searchType=icon&q=手术,,"手术协助|手术|外科,手术",单色线性|currentColor可控|平安橙可适配,medical.surgery,"{""palette"": [""currentColor""], ""fills"": 1}",4,False,needs_review_iconfont,candidate_after_license_review,iconfont公开搜索结果，已筛为单色SVG；外发前需复核授权。
gen.icon_shield_cross,免疫防护,01_图标_icon,服务能力,01_图标_icon/服务能力/pa_icon_shield_cross.svg,svg,generated_pingan_component,,,,免疫防护|平安橙|HTML组件,平安橙适配|单色线性|白底友好,service.immunity,"{""palette"": [""#f05a22"", ""#fff1e8"", ""#ffffff""]}",5,True,self_generated,default_candidate,自绘SVG组件，可直接用于HTML材料。
iconfont.10056191,注射接种-注射器,01_图标_icon,服务能力,01_图标_icon/服务能力/iconfont_service_injection_10056191_注射器.svg,svg,iconfont_public_search,10056191,https://www.iconfont.cn/search/index?searchType=icon&q=注射,,注射接种|注射|注射器,单色线性|currentColor可控|平安橙可适配,service.injection,"{""palette"": [""currentColor""], ""fills"": 1}",4,False,needs_review_iconfont,candidate_after_license_review,iconfont公开搜索结果，已筛为单色SVG；外发前需复核授权。
iconfont.3920061,注射接种-注射器,01_图标_icon,服务能力,01_图标_icon/服务能力/iconfont_service_injection_3920061_注射器.svg,svg,iconfont_public_search,3920061,https://www.iconfont.cn/search/index?searchType=icon&q=注射,,注射接种|注射|注射器,单色线性|currentColor可控|平安橙可适配,service.injection,"{""palette"": [""currentColor""], ""fills"": 1}",4,False,needs_review_iconfont,candidate_after_license_review,iconfont公开搜索结果，已筛为单色SVG；外发前需复核授权。
gen.icon_nutrition_bowl,营养管理,01_图标_icon,服务能力,01_图标_icon/服务能力/pa_icon_nutrition_bowl.svg,svg,generated_pingan_component,,,,营养管理|平安橙|HTML组件,平安橙适配|单色线性|白底友好,service.nutrition,"{""palette"": [""#f05a22"", ""#fff1e8"", ""#ffffff""]}",5,True,self_generated,default_candidate,自绘SVG组件，可直接用于HTML材料。
iconfont.1071062,营养管理-营养说2,01_图标_icon,服务能力,01_图标_icon/服务能力/iconfont_service_nutrition_1071062_营养说2.svg,svg,iconfont_public_search,1071062,https://www.iconfont.cn/search/index?searchType=icon&q=营养,,营养管理|营养|营养说2,单色线性|currentColor可控|平安橙可适配,service.nutrition,"{""palette"": [""currentColor""], ""fills"": 1}",4,False,needs_review_iconfont,candidate_after_license_review,iconfont公开搜索结果，已筛为单色SVG；外发前需复核授权。
iconfont.16275271,营养管理-营养咨询师,01_图标_icon,服务能力,01_图标_icon/服务能力/iconfont_service_nutrition_16275271_营养咨询师.svg,svg,iconfont_public_search,16275271,https://www.iconfont.cn/search/index?searchType=icon&q=营养,,"营养管理|营养|营养咨询师,线性,手绘,单色,营养师,营养咨询",单色线性|currentColor可控|平安橙可适配,service.nutrition,"{""palette"": [""currentColor""], ""fills"": 1}",4,False,needs_review_iconfont,candidate_after_license_review,iconfont公开搜索结果，已筛为单色SVG；外发前需复核授权。
gen.icon_sleep_moon,睡眠管理,01_图标_icon,服务能力,01_图标_icon/服务能力/pa_icon_sleep_moon.svg,svg,generated_pingan_component,,,,睡眠管理|平安橙|HTML组件,平安橙适配|单色线性|白底友好,service.sleep,"{""palette"": [""#f05a22"", ""#fff1e8"", ""#ffffff""]}",5,True,self_generated,default_candidate,自绘SVG组件，可直接用于HTML材料。
iconfont.4408993,睡眠管理-睡眠,01_图标_icon,服务能力,01_图标_icon/服务能力/iconfont_service_sleep_4408993_睡眠.svg,svg,iconfont_public_search,4408993,https://www.iconfont.cn/search/index?searchType=icon&q=睡眠,,睡眠管理|睡眠|睡眠,单色线性|currentColor可控|平安橙可适配,service.sleep,"{""palette"": [""currentColor""], ""fills"": 1}",4,False,needs_review_iconfont,candidate_after_license_review,iconfont公开搜索结果，已筛为单色SVG；外发前需复核授权。
iconfont.988847,睡眠管理-睡眠,01_图标_icon,服务能力,01_图标_icon/服务能力/iconfont_service_sleep_988847_睡眠.svg,svg,iconfont_public_search,988847,https://www.iconfont.cn/search/index?searchType=icon&q=睡眠,,睡眠管理|睡眠|睡眠,单色线性|currentColor可控|平安橙可适配,service.sleep,"{""palette"": [""currentColor""], ""fills"": 1}",4,False,needs_review_iconfont,candidate_after_license_review,iconfont公开搜索结果，已筛为单色SVG；外发前需复核授权。
gen.icon_vaccine_syringe,疫苗接种,01_图标_icon,服务能力,01_图标_icon/服务能力/pa_icon_vaccine_syringe.svg,svg,generated_pingan_component,,,,疫苗接种|平安橙|HTML组件,平安橙适配|单色线性|白底友好,service.vaccine,"{""palette"": [""#f05a22"", ""#fff1e8"", ""#ffffff""]}",5,True,self_generated,default_candidate,自绘SVG组件，可直接用于HTML材料。
iconfont.765796,疫苗防护-疫苗,01_图标_icon,服务能力,01_图标_icon/服务能力/iconfont_service_vaccine_765796_疫苗.svg,svg,iconfont_public_search,765796,https://www.iconfont.cn/search/index?searchType=icon&q=疫苗,,"疫苗防护|疫苗|疫苗,打针",单色线性|currentColor可控|平安橙可适配,service.vaccine,"{""palette"": [""currentColor""], ""fills"": 1}",4,False,needs_review_iconfont,candidate_after_license_review,iconfont公开搜索结果，已筛为单色SVG；外发前需复核授权。
iconfont.7693982,疫苗防护-疫苗,01_图标_icon,服务能力,01_图标_icon/服务能力/iconfont_service_vaccine_7693982_疫苗.svg,svg,iconfont_public_search,7693982,https://www.iconfont.cn/search/index?searchType=icon&q=疫苗,,疫苗防护|疫苗|疫苗,单色线性|currentColor可控|平安橙可适配,service.vaccine,"{""palette"": [""currentColor""], ""fills"": 1}",4,False,needs_review_iconfont,candidate_after_license_review,iconfont公开搜索结果，已筛为单色SVG；外发前需复核授权。
gen.icon_followup_calendar,随访跟踪,01_图标_icon,流程节点,01_图标_icon/流程节点/pa_icon_followup_calendar.svg,svg,generated_pingan_component,,,,随访跟踪|平安橙|HTML组件,平安橙适配|单色线性|白底友好,flow.followup,"{""palette"": [""#f05a22"", ""#fff1e8"", ""#ffffff""]}",5,True,self_generated,default_candidate,自绘SVG组件，可直接用于HTML材料。
iconfont.10885287,随访跟踪-随访,01_图标_icon,流程节点,01_图标_icon/流程节点/iconfont_flow_followup_10885287_随访.svg,svg,iconfont_public_search,10885287,https://www.iconfont.cn/search/index?searchType=icon&q=随访,,随访跟踪|随访|随访,单色线性|currentColor可控|平安橙可适配,flow.followup,"{""palette"": [""currentColor""], ""fills"": 1}",4,False,needs_review_iconfont,candidate_after_license_review,iconfont公开搜索结果，已筛为单色SVG；外发前需复核授权。
iconfont.16921561,随访跟踪-随访,01_图标_icon,流程节点,01_图标_icon/流程节点/iconfont_flow_followup_16921561_随访.svg,svg,iconfont_public_search,16921561,https://www.iconfont.cn/search/index?searchType=icon&q=随访,,随访跟踪|随访|随访,单色线性|currentColor可控|平安橙可适配,flow.followup,"{""palette"": [""currentColor""], ""fills"": 1}",4,False,needs_review_iconfont,candidate_after_license_review,iconfont公开搜索结果，已筛为单色SVG；外发前需复核授权。
gen.icon_health_record,健康档案,01_图标_icon,流程节点,01_图标_icon/流程节点/pa_icon_health_record.svg,svg,generated_pingan_component,,,,健康档案|平安橙|HTML组件,平安橙适配|单色线性|白底友好,service.health_record,"{""palette"": [""#f05a22"", ""#fff1e8"", ""#ffffff""]}",5,True,self_generated,default_candidate,自绘SVG组件，可直接用于HTML材料。
iconfont.10268557,健康档案-健康档案,01_图标_icon,流程节点,01_图标_icon/流程节点/iconfont_service_health_record_10268557_健康档案.svg,svg,iconfont_public_search,10268557,https://www.iconfont.cn/search/index?searchType=icon&q=健康档案,,健康档案|健康档案|健康档案,单色线性|currentColor可控|平安橙可适配,service.health_record,"{""palette"": [""currentColor""], ""fills"": 1}",4,False,needs_review_iconfont,candidate_after_license_review,iconfont公开搜索结果，已筛为单色SVG；外发前需复核授权。
iconfont.31359592,健康档案-健康档案,01_图标_icon,流程节点,01_图标_icon/流程节点/iconfont_service_health_record_31359592_健康档案.svg,svg,iconfont_public_search,31359592,https://www.iconfont.cn/search/index?searchType=icon&q=健康档案,,"健康档案|健康档案|健康档案,简约,线性",单色线性|currentColor可控|平安橙可适配,service.health_record,"{""palette"": [""currentColor""], ""fills"": 1}",4,False,needs_review_iconfont,candidate_after_license_review,iconfont公开搜索结果，已筛为单色SVG；外发前需复核授权。
gen.icon_report_interpret,报告解读,01_图标_icon,流程节点,01_图标_icon/流程节点/pa_icon_report_interpret.svg,svg,generated_pingan_component,,,,报告解读|平安橙|HTML组件,平安橙适配|单色线性|白底友好,service.report,"{""palette"": [""#f05a22"", ""#fff1e8"", ""#ffffff""]}",5,True,self_generated,default_candidate,自绘SVG组件，可直接用于HTML材料。
iconfont.34453368,报告解读-行业报告,01_图标_icon,流程节点,01_图标_icon/流程节点/iconfont_service_report_34453368_行业报告.svg,svg,iconfont_public_search,34453368,https://www.iconfont.cn/search/index?searchType=icon&q=报告,,"报告解读|报告|行业报告,线性,简约,手绘",单色线性|currentColor可控|平安橙可适配,service.report,"{""palette"": [""currentColor""], ""fills"": 1}",4,False,needs_review_iconfont,candidate_after_license_review,iconfont公开搜索结果，已筛为单色SVG；外发前需复核授权。
iconfont.5334129,报告解读-报告,01_图标_icon,流程节点,01_图标_icon/流程节点/iconfont_service_report_5334129_报告.svg,svg,iconfont_public_search,5334129,https://www.iconfont.cn/search/index?searchType=icon&q=报告,,报告解读|报告|报告,单色线性|currentColor可控|平安橙可适配,service.report,"{""palette"": [""currentColor""], ""fills"": 1}",4,False,needs_review_iconfont,candidate_after_license_review,iconfont公开搜索结果，已筛为单色SVG；外发前需复核授权。
gen.arrow_right_chevron,右箭头,02_流程箭头_连接组件,右箭头,02_流程箭头_连接组件/右箭头/pa_arrow_right_chevron.svg,svg,generated_pingan_component,,,,右箭头|平安橙|HTML组件,平安橙适配|单色线性|白底友好,flow.arrow_right,"{""palette"": [""#f05a22"", ""#fff1e8"", ""#ffffff""]}",5,True,self_generated,default_candidate,自绘SVG组件，可直接用于HTML材料。
gen.arrow_right_soft,柔和右箭头,02_流程箭头_连接组件,右箭头,02_流程箭头_连接组件/右箭头/pa_arrow_right_soft.svg,svg,generated_pingan_component,,,,柔和右箭头|平安橙|HTML组件,平安橙适配|单色线性|白底友好,flow.arrow_right,"{""palette"": [""#f05a22"", ""#fff1e8"", ""#ffffff""]}",5,True,self_generated,default_candidate,自绘SVG组件，可直接用于HTML材料。
gen.timeline_node,时间轴节点,02_流程箭头_连接组件,时间轴,02_流程箭头_连接组件/时间轴/pa_timeline_node.svg,svg,generated_pingan_component,,,,时间轴节点|平安橙|HTML组件,平安橙适配|单色线性|白底友好,flow.timeline_node,"{""palette"": [""#f05a22"", ""#fff1e8"", ""#ffffff""]}",5,True,self_generated,default_candidate,自绘SVG组件，可直接用于HTML材料。
gen.arrow_loop,闭环箭头,02_流程箭头_连接组件,闭环箭头,02_流程箭头_连接组件/闭环箭头/pa_arrow_loop.svg,svg,generated_pingan_component,,,,闭环箭头|平安橙|HTML组件,平安橙适配|单色线性|白底友好,flow.closed_loop,"{""palette"": [""#f05a22"", ""#fff1e8"", ""#ffffff""]}",5,True,self_generated,default_candidate,自绘SVG组件，可直接用于HTML材料。
local.PRESALE002_A0011,企业员工健康-PRESALE002_A0011,03_场景插画_照片,企业员工健康,03_场景插画_照片/企业员工健康/local_PRESALE002_A0011_企业员工健康.jpeg,jpeg,local_presale_curated,PRESALE002_A0011,,PRESALE002 p5,企业员工健康|商务医疗场景,平安橙适配|售前材料来源|橙色可适配|浅底友好,scene.enterprise_health,"{""width"": 474, ""height"": 600, ""brightness"": 0.864, ""saturation"": 0.121, ""orange_ratio"": 0.121, ""green_ratio"": 0.0, ""black_ratio"": 0.004, ""white_ratio"": 0.54, ""high_sat_ratio"": 0.0}",5,True,local_knowledge_base,default_candidate,用于封面、行业痛点、客户场景、医养服务场景
local.PRESALE002_A0087,企业员工健康-PRESALE002_A0087,03_场景插画_照片,企业员工健康,03_场景插画_照片/企业员工健康/local_PRESALE002_A0087_企业员工健康.jpeg,jpeg,local_presale_curated,PRESALE002_A0087,,PRESALE002 p14,企业员工健康|商务医疗场景,平安橙适配|售前材料来源|含平安橙|浅底友好,scene.enterprise_health,"{""width"": 619, ""height"": 460, ""brightness"": 0.923, ""saturation"": 0.082, ""orange_ratio"": 0.026, ""green_ratio"": 0.0, ""black_ratio"": 0.0, ""white_ratio"": 0.651, ""high_sat_ratio"": 0.0}",5,True,local_knowledge_base,default_candidate,用于封面、行业痛点、客户场景、医养服务场景
local.PRESALE002_A0056,医务室体检-PRESALE002_A0056,03_场景插画_照片,医务室体检,03_场景插画_照片/医务室体检/local_PRESALE002_A0056_医务室体检.jpeg,jpeg,local_presale_curated,PRESALE002_A0056,,PRESALE002 p10,医务室体检|医生服务|医疗场景,平安橙适配|售前材料来源|含平安橙|医疗/流程语义|浅底友好,scene.clinic_checkup,"{""width"": 679, ""height"": 614, ""brightness"": 0.921, ""saturation"": 0.085, ""orange_ratio"": 0.015, ""green_ratio"": 0.0, ""black_ratio"": 0.0, ""white_ratio"": 0.786, ""high_sat_ratio"": 0.006}",5,True,local_knowledge_base,default_candidate,用于封面、行业痛点、客户场景、医养服务场景
